INPUT,/mˈiːllem/,/fˈiːn̪em/,/spˈiːn̪ɑm/,/lˈiːn̪eɑm/,/fˈiːlius/,/mˈiːkɑm/,/wˌiːllˈɑːn̪um/,/hˌiːbˈern̪um/,/kwˌiːn̪kwɑːɡˈin̪t̪ɑm/,/lˌiːmˈɑːre/,/fˌiːlikˈellɑm/,/lˌiːn̪eˈɑːt̪ɑm/,/t̪ˌiːt̪iˈoːn̪em/,/ˈillɑm/,/d̪ˈeːbit̪ɑm/,/fˈin̪d̪ere/,/prˌehˈen̪d̪ere/,/fˈeːmin̪ɑm/,/ˈilloːs/,/fˈid̪em/,/krˈeːt̪ɑm/,/plˈeːn̪um/,/plˈeːn̪ɑm/,/kˈeːrɑm/,/rˌɑkˈeːmum/,/pˌɑrˈikulum/,/ˌin̪sˈiɡn̪iɑm/,/fˈin̪kt̪um/,/t̪ˈeːkt̪um/,/rˈiɡid̪ɑm/,/sˈept̪em/,/t̪ˈempus/,/bˈellus/,/pˈed̪em/,/hˈeri/,/fˈerɑm/,/bˈen̪e/,/t̪ˈen̪en̪t̪/,/d̪ˈeum/,/wˈet̪ulum/,/wˈet̪uloːs/,/t̪ˈen̪eɑt̪/,/ˌin̪ɡˈen̪ioːs/,/t̪ˈen̪eo/,/pˈejus/,/lˈekt̪um/,/pˌersˈoːn̪ɑm/,/fˌirmˈɑːre/,/lˌewiˈɑːrium/,/d̪ˌisfˈɑkere/,/n̪ˌepˈoːt̪em/,/d̪ˌeːbˈeːre/,/sˌen̪t̪ˈiːre/,/sˌin̪ɡulˈɑːrem/,/fˌen̪ˈɑːre/,/mˌin̪ˈɑːri/,/fˌimˈɑːrium/,/fˌilt̪rˈɑːre/,/bˌellit̪ˈɑːt̪em/,/sˌen̪iˈoːrem/,/pˌin̪kt̪ˈuːrɑm/,/mˌeliˈoːrem/,/wˌiɡilˈɑːre/,/mˌed̪iˈɑːn̪um/,/wˌeːkt̪ˈuːrɑm/,/frˌikˈɑːre/,/pˈɑrt̪em/,/ˌae̯t̪ˈɑːt̪ikum/,/pˈɑst̪ɑm/,/ɡrˈɑn̪d̪em/,/lˈɑmin̪ɑm/,/ˈɑlbɑm/,/iˈɑm/,/ɡrˈɑːt̪um/,/t̪ˈɑːlem/,/mˈɑre/,/mˈɑt̪rem/,/mˈɑn̪u/,/ˈɑmɑt̪/,/pˈɑːloːs/,/pˌiet̪ˈɑːt̪em/,/mˌɑn̪d̪uːkˈɑːre/,/kˈɑːrum/,/kˈɑːrɑm/,/kˈɑn̪em/,/iˈɑket̪/,/ˈɑllium/,/pˈɑleɑm/,/ˈɑllioːs/,/mˌon̪t̪ˈɑːn̪eɑm/,/sˈɑn̪kt̪um/,/mˈɑɡis/,/hˈɑbeo/,/ˌɑbbˈɑːt̪em/,/mˌɑrˈiːt̪um/,/bˌɑst̪ˈiːre/,/sˌɑːn̪it̪ˈɑːt̪em/,/ˌɑn̪n̪ˈɑːt̪ɑm/,/sˌɑlt̪ˈɑːre/,/kˌɑbˈɑllum/,/kˌɑlˈeːre/,/pˌɑleˈɑːrium/,/ˌɑɡn̪ˈelloːs/,/sˌɑn̪kt̪it̪ˈɑːt̪em/,/mˌɑn̪siˈoːn̪em/,/mˈort̪em/,/t̪ˈost̪um/,/pˈoːn̪t̪em/,/fˈolleːs/,/bˈowem/,/pˈot̪et̪/,/ˈokulum/,/fˈoliɑ/,/ˈokuloːs/,/n̪ˈokt̪em/,/hˈod̪ie/,/t̪ˌormˈen̪t̪um/,/mˌorˈiːri/,/d̪ˌubit̪ˈɑːre/,/n̪ˌoːd̪ˈɑːre/,/fˌon̪t̪ˈɑːn̪ɑm/,/fˌun̪d̪ˈɑːre/,/hˌon̪ˈoːrem/,/d̪ˌoːn̪ˈɑːre/,/sˌolid̪ˈɑːre/,/kˌulpˈɑbilem/,/kˌun̪eˈɑːt̪ɑm/,/pˌun̪kt̪ˈuːrɑm/,/bˌulliˈen̪t̪em/,/mˌod̪iˈolum/,/t̪ˌoːn̪siˈoːn̪em/,/ɡˈut̪t̪ɑm/,/kˌohˈort̪em/,/kˈubit̪um/,/fˈun̪d̪us/,/sˈummɑm/,/pˈulwerem/,/illˈoːrum/,/n̪ˈoːd̪um/,/d̪ˈoːn̪um/,/d̪ˈoːn̪ɑt̪/,/lˈupɑm/,/kˈoːleɑm/,/fˈulɡerem/,/wˌereːkˈun̪d̪iɑm/,/pˈun̪kt̪um/,/kˈun̪eum/,/n̪ˈukem/,/kˌon̪n̪ˈoːskere/,/n̪ˈuːllum/,/mˈuːrum/,/ˌuːn̪um/,/ˌuːn̪ɑm/,/kˈuːlloːs/,/iˈuːn̪ium/,/frˈuːkt̪um/,/mˌuːrˈɑːliɑ/,/pˌuːrɡˈɑːre/,/lˌuːn̪isd̪ˈiːem/,/fˌuːmˈɑːre/,/pˌuːlikˈellɑm/,/ˌuːst̪iˈɑːrium/,/ˌeksfrˌuːkt̪ˈɑre/,/ˈɑwrum/,/pˈɑwper/,/kˈɑwsɑm/,/ɡˈɑwt̪ɑm/,/sˈɑɡmɑm/,/ɡˈɑwd̪iɑ/,/lˌɑwrˈɑːrium/,/ˌɑwsˈɑːre/,/lˌɑwd̪ˈɑːre/,/sˌɑɡmˈɑːrium/,/ˌɑwikˈelloːs/,/pˈuːrum/,/t̪ˈɑlpɑm/,/kˈɑmpum/,/rˈiːpɑm/,/lˈeporem/,/kˈɑpum/,/kˈuppɑm/,/d̪rˈɑppum/,/d̪ˈuplum/,/sˈɑpiɑm/,/rˈumpere/,/kˈorpus/,/bˈɑrbɑm/,/t̪ˌɑbˈoːn̪em/,/n̪ˈuːbɑm/,/hˌɑbˈeːre/,/lˈiːbrɑm/,/t̪ˈɑbulɑm/,/rˈubeum/,/mˈembrum/,/prˈesbyt̪er/,/wˈen̪t̪um/,/sˌerwˈiːre/,/pˌɑwˈoːrem/,/lˌɑwˈɑːrɛ/,/wˈiːwere/,/n̪ˈɑːwem/,/kˌiːwit̪ˈɑːt̪em/,/bˈowes/,/kˈɑweɑm/,/sˈerwit̪/,/d̪ˈuːrum/,/mˈɑn̪d̪ˈɑːre/,/t̪ˈɑrd̪um/,/n̪ˈuːd̪ɑm/,/n̪ˈuːd̪um/,/d̪iˈurn̪um/,/pˈed̪es/,/rˌɑːd̪iːkˈiːn̪ɑm/,/mˈord̪ere/,/t̪ˈuː/,/pˈort̪ɑm/,/fˈort̪em/,/wˈiːt̪ɑm/,/pˈɑt̪rem/,/sˈun̪t̪/,/t̪ˈen̪et̪/,/pˈort̪ɑt̪/,/t̪ˈoːt̪t̪ɑm/,/t̪ˈoːt̪t̪um/,/ˌɑd̪sˈɑt̪is/,/fˈort̪iɑm/,/rˌɑt̪iˈoːn̪em/,/prˈet̪ium/,/ˈɑlt̪erum/,/t̪ˌest̪imˈoːn̪ium/,/sˈoror/,/ˈursɑm/,/kˈursum/,/rˈiːsum/,/spˈɑt̪ʰɑm/,/prˈessɑm/,/bˈɑssum/,/mˌiskulˈɑːre/,/fˈest̪ɑm/,/mˌessiˈoːn̪em/,/ˈɑn̪n̪oːs/,/rˈiːd̪ere/,/ˌɑmˈɑːrɑm/,/pˌort̪ˈɑːre/,/ˌoperˈɑːrium/,/pˌort̪ɑt̪ˈoːrem/,/fˈerrum/,/wˈɑrium/,/mˈɑjum/,/kˈen̪t̪um/,/rˈumikem/,/kˈɑrkerem/,/plˌɑkˈeːre/,/pˈikem/,/fˈɑkiɑm/,/brˈɑkkʰium/,/kˈɑrrum/,/plˈikɑt̪/,/bˈɑkɑm/,/lˌokˈɑːre/,/ˈɑrkuːm/,/kˈirkulum/,/pˈorkoːs/,/sˌekˈuːrum/,/sˈikkum/,/sˈikkɑm/,/lˈɑkrimɑm/,/lˌɑksˈɑːre/,/ˈɑksem/,/t̪rˌɑkt̪ˈɑːre/,/fˈɑkt̪um/,/ɡˈen̪t̪em/,/plˈɑn̪ɡere/,/sˌiɡˈelloːs/,/flˌɑɡˈelloːs/,/ˌeksˈɑɡium/,/ɡˈɑlbin̪um/,/rˈiɡɑm/,/plˈɑːɡɑm/,/rˈuːɡɑm/,/d̪ˈoːɡɑm/,/ɡˈust̪um/,/lˈon̪ɡoːs/,/ˈun̪ɡulɑm/,/ˌɑwɡˈust̪um/,/n̪ˈiɡrum/,/pˌereɡrˈiːn̪um/,/pˈoːmɑm/,/fˈɑmem/,/kˈɑmerɑm/,/kˈumulum/,/sˈiːmium/,/d̪ˈormit̪/,/n̪ˈɑːsum/,/lˈuːn̪ɑm/,/pˈin̪n̪ɑm/,/ˈɑn̪n̪um/,/ˈɑn̪imɑm/,/ˈɑn̪imɑm/,/pˈon̪ere/,/bˈɑln̪eum/,/bˈɑln̪eoːs/,/ˈɑːlɑm/,/mˌɑlum/,/fˈiːliɑm/
R385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R387,,,,,,,,,,,*/fˌilʲt͡sʲˈɛlla/,,,,,,,,,,,,,,*/rˌajd͡zʲˈiːm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/pˌiçt̪ʲˈie̯t̪/,,,,,,,,,,,,,,,,,,,,,,,*/sˌaɲt̪ʲˈie̯t̪/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/ˌʉjsʲˈie̯r/,*/ˌɛsfrˌʉçt̪ʲˈie̯r/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/plˌajd͡zʲˈiːr/,,,,,,,,,,,,,,,*/lˌaçsʲˈie̯r/,,*/t̪rˌaçt̪ʲˈie̯r/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/pˌiçt̪ˈie̯t̪/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/fˌemˈie̯r/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/lˌɔwrˈie̯r/,,,*/sˌɔwmˈie̯r/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/ˌɔβrˈie̯r/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R390,,,,,*/fˈiʎt͡sʲ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/βˈie̯ʎt͡sʲ/,,*/ˌeɲˈie̯ɲt͡sʲ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/ˈaʎt͡sʲ/,,,,,,,,,,,,,,,,,,,,,,,,,*/ˈʉo̯ʎt͡sʲ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/bˈaɲt͡sʲ/,,,
R391,,,,,,,,,,,,,*/t̪ˌijzˈũːn̪/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/ˌɔwjzˈɛlls/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/rˌajzˈũːn̪/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/d̪ˌesfˈajr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/βˈajr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/n̪ˈejr/,,,,,,,,,,,,,,,,,,,
R393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/ˌɛðˈad̪d͡ʒə/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/pˈaːʎa/,,*/mˌũn̪t̪ˈaːɲa/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/kˈoːʎa/,,,,,,,,,,,,,,*/mˌʉrˈaːʎa/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/ˈaːʎ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/bˈaːɲ/,,,,
R402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/ˈaʎ/,*/pˈaʎa/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/kˈoʎa/,,,,,,,,,,,,,,*/mˌʉrˈaʎa/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/mˌũn̪t̪ˈaɲa/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/bˈaɲ/,,,,
R404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/kˌoɫpˈablə/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/t̪ˈabla/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R405,,,,*/lˈiɲa/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/βˌɛrɡˈũɲa/,,*/kˈũɲ/,,,,,,,,*/d͡ʒˈʉɲ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/t̪ˌɛsd̪mˈũɲ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/plˈejaθ/,,,,,,,,,,,,,,,,,,,,*/rˈeja/,,,,,,,,,,,,,,,,,,,,,,,,,,,
